,0,1,2
53,52.0,game becomes too casual. and the playerbase become WK just to discredit all criticism.,1
54,53.0,love it no other words but good,5
55,54.0,"Not able to sign in , i uninstalled every extra apps but still an error was coming nerver downloading ever again",1
56,55.0,"There is a reason this game has fallen to 3 STARS and it's going even lower every time I see it. YOU keep deleting special content and time gate content. New players have no clue. Also, there is no Android phone optimization even tho the s24 is dedicated to handle this game. ""New"" boring and bloated content and dialog is the same. Why keep the annoying sidekick...? Weathering Waves story and characters seem more promising and that game isn't even out yet. Create different race characters!!!",1
57,56.0,Became my most fav game yesss,5
58,57.0,Used to be fun but there's not really a lot of things to do anymore. I was able to reach AR 60 after playing for 2 years and a half once I've reached AR 55 the motivation/ fun if playing the game has already faded now I'm only playing because I've spent too much money and time playing this game.,3
59,58.0,The game is great and so is the story line but I really wanna see more of the anime still art.And i feel like the travel speak instead of piamon since I feel like it would give a bit more depth in the game other than that the games amazing and I recommend playing,4
60,59.0,I love this game! Buti have only one issue make this game more optimized.,5
61,60.0,Its really cool game i love story and animations,5
62,61.0,It's bad,1
63,62.0,I love this game but not farming artifact,5
64,63.0,Best story,5
65,64.0,"Loved it, love how this open world is. It's funny, beautiful, amazing. Could play all day every day.",5
66,65.0,EHE TTE NANDAYO!!,5
67,66.0,"1. The story, characters, world and music - great, love it very much 2. Gacha is greedy, in-game rewards are not enough. I buy BP and welkin but still think that game can offer more 4. Endgame is boring, it's better to quit from time to time and come back for the new regions 5. At least they are making interesting events each update 6. They still work with russia, which means they contribute to russia tax system, where money are used in missile production and you know what happens next",3
68,67.0,10/10 the best game ever that I have played,5
69,68.0,Such a cool rpg game Might even be the best! But it has lots of pay2win options and I'm free2play tho..,5
70,69.0,"won't talk about the rewards since it needs 6 pages itself, but I will talk about the insane problems. Look, genshin doesn't need to try anymore. Bugs that were in during the first patch are still there, there are almost no quality of life features, everyone has been asking for artifact load outs and it never came until the early 4.0+ patches. The recommendations as well weren't there until new patches. So many bugs/glitches that were there since day 1, the strongbox is a scam, fix your issues.",1
71,70.0,Good,5
72,71.0,Played better on pc,5
73,72.0,Nice but how can I change the text language,4
74,73.0,I COULSNT PLAY THIS CUZ MY PHONE CANT HANDLE IT UGHHHH,3
75,74.0,My screen is white,1
76,75.0,This game is great but i really hope they are more lenient on giving us primogems like star rail is getting,5
77,76.0,Cant log in,2
78,77.0,Been a player since 2020. Truly a wonderful anime game. it has so many big places to explore like sumeru & liyue and u can play it 24/7,5
79,78.0,作为一款手游界创世神作，如今却成功教会了我放下游戏出门，很好奇原神策划是怎么做到的？肯定不只是周年庆送三抽和负面事件一出就躺平这么简单吧~肯定还会有过人的技巧比如出那维莱特把环境搞烂然后再继续抑制早已爆炸的数值膨胀吧~肯定还会有出色的能力比如枫丹的主角实力疯狂正常发挥然后说出来的台词根本和玩家达不成共鸣吧~......如今是领悟了一个道理，别看深渊就行了，角色喜欢就抽抽不到就躺，绝对玩得开心,2
80,79.0,"To get stronger you need luck and money, not skill and strategy. Hoyoverse is so stingy with rewards, all the comments and suggestions that genshin players made is put not on genshin, BUT ON HONKAI STAR RAIL. This is ridiculous, why bother asking players to answer surveys then? And you only give mora as a reward. Afk legends has better rewards, they give gems for survey rewards. Genshin only gives 1 primogem for tutorials, afk legends gives 30. You're NOT gonna get bankrupt from giving more",1
81,80.0,This game is the absolute best! But just 1 big problem made this review lose 4 stars! After a play a little I cannot play! It automatically kicks me out of the game! Now I am thinking why did I use 33 GB storage just for this stupid game! 🤬,1
82,81.0,Cool,5
83,82.0,Good,5
84,83.0,"I can't retrieve my account after reinstalling, tried to contact HoYo but they denied my access. 🥲",5
85,84.0,"The overall game play is okay but I feel like this game is to p2w and I'm not saying this is bad or anything I just feel like a lot of the things in this game you have to pay for it. And I know grinding is a thing but sometimes I feel like it takes to long.And again, if you like it then good for you.",4
86,85.0,"Once you have unlocked a character ..there must be another way of unlocking his constellations, rather than wishing ...like you can have character based quests ...with several chapters with difficulty based levels...otherwise its just a money oriented game..where we have to be at mercy of gacha system ..to even dupe the characters which we already have.. Solution is ..for important constellations ..like c1 and c2 or even c3 ..you should give through ingame content and rest of them can be gacha",1
87,86.0,Cool,5
88,87.0,Adventuro,5
89,88.0,the download recourses is soo long,1
90,89.0,I luv ittt,5
91,90.0,This game's storage is ridiculous. 30GB on mobile???,5
92,91.0,This sucks First of all super Laggy and not even playable then the abilities are so annoying,1
93,92.0,I really love this game,5
94,93.0,Nice,5
95,94.0,"Anti cheat system is failing, more and more cheaters in the game, hoyoverse waiting for player report is not helping, there are plenty of player successfully used cheat under radar",1
96,95.0,No controller support for Android. But it does have it for Apple? Not getting my money then. Shady.,1
97,96.0,"An RPG game with the best graphics and the I've ever played, but i have some issue with the switching char that sometimes its lagging, but overall it' a very good game",4
98,97.0,"HI! IM ON MOBILE! I love it, music, graphics, characters, everything, but I have two problems, one IT TAKES A TON OF STORAGE TO DOWNLOAD, I deleted like 5 apps and a ton of files then it started to download, ALSO I CANT PET ANY OF THE ANIMALS, PLEASE ADD A FEATURE SO WE CAN INTERACT/PET THE ANIMALS!!!",3
99,98.0,This dangerous game makes me addicted to play.... But my gacha always ZONK..... 😭😭😭,5
100,99.0,"This game is awesome! Although you have to wait for the download, but this game is really addictive!",5
101,100.0,Genial,5
102,101.0,Gud but stutter so 4 stars,4
103,102.0,"First of all is. Graphics: Very satisfied Game play: satisfied Stories: Very satisfied Quest's: Very satisfied Animation & Characters: Normal Maps: Normal Events: Very satisfied I've been playing genchin for one year and the 4.6 update is well genchin is updating ther map because it's very boring when there is no other maps so I love it they add new map and the New upcoming her name archelino, the events is great and sometimes not great, sometimes boring well well yha.",4
104,103.0,It's really a good game and it's was too cutie characters,5
105,104.0,This game is so scam,1
106,105.0,"I love this gameeeee, even though i got it from Galaxy Store, not from Playstore",5
107,106.0,Wish me luck to get arlecchino,5
108,107.0,Игра хороша но неоптимизированна,3
109,108.0,Needs controller or keyboard and mouse support for android!,3
110,109.0,30 gb ??????? FOR A GAME ??? for real ?? I have 128 gb storage phone but i still wont let a game take 30gb of space. Just be real devs it's a phone not a pc.,1
111,110.0,Great game it's open world so lot to explore.,5
112,111.0,Needs controller support,1
113,112.0,WHY IS SUMERU SO LONG I'M TIRED BRO,4
114,113.0,Super but big size,5
115,114.0,Op graphics 🤤✨🌟,5
116,115.0,Grind so hard i hate myself,5
117,116.0,Awesome,5
118,117.0,"This is a fun game, but half the people who play it are rude and inconsiderate. Not everyone but enough. And it's constant crashing does not help, don't even think about asking hoyo for help because they won't respond. If I could give the game 0 stars I would.",1
119,118.0,"Superb game...Love all the graphics, design, stories and even new journey and adventures!!! Overall it's an mind blowing hella game.. ❤️❤️✨✨🤯🤯",5
120,119.0,I love this game,5
121,120.0,It's a good game 👍,5
122,121.0,"This game has fantastic in game environment and fighting styles. I am not really fan of anime, but still this game story is heart touching from Sumeru & Fountaine archon quest. Paimon is annoying but she is so cute while reacting 🤣.",5
123,122.0,"I LOOOOOVEEEEE this game is so addicting and the story is so interesting! The open world feature lets you explore everything, and the scenery is amazing! There are constantly new updates, and it keeps the game going. Overall, this is one of my favorite games!",5
124,123.0,Takes up to much space sadly and it doesn't give you much rewards and it gets more boring the more you play it,1
125,124.0,I love how the story runs,5
126,125.0,This game is so nicee but it it take a lot of storage from your phone,3
127,126.0,If you have alot of storage...BUY IT‼️‼️,5
128,127.0,The game is good for sure. The graphic really stunning. The combat system also great. But i my game crashing so hard during Archon Quest in Inazuma Well maybe my bad because my phone not too powerfull,4
129,128.0,I love the game so much and I recommend it! It's fun and lots of storylines too. The characters are pretty and fun too play with,5
130,129.0,Its not relevant at all feel like bored and hard to complete the event until end of time..everyone is joining with making and buying the cosplay suit for all characters in Genshin...i think not too many of them will play this game so far..,1
131,130.0,Best Mobile Game by far. Don't get misled by fake reviews by haters this is peak. You won't regret playing this game.,5
132,131.0,This is may favorite game,5
133,132.0,I miss playing Genshin 😭 my phone's storage can't handle it anymore 😔,5
134,133.0,👍🏾👍🏾👍🏾,5
135,134.0,Good,4
136,135.0,Noice.,5
137,136.0,It's an excellent game,5
138,137.0,"I have a lot of fun, what more can you want?",5
139,138.0,"This game is not letting me login, it says ""Failed to connect to the internet"" when I literally have my internet connected properly. This has been happening for the past 2-3 days, please check the issue. An early response would be appreciated.",1
140,139.0,Good game. But it takes a lots of space 💀😅 but still fun.,5
141,140.0,I've been playing since 2021 and still love it just as much. I just recently restarted on mobile now it feels nostalgic lol,5
142,141.0,The Best,5
143,142.0,The rewards for Playing Quests are not good you have created so many quests and the rewards of them are really worst . Big missions are worth nothing when the rewards are not satisfying,1
144,143.0,I really like it's graphics,5
145,144.0,Awesome game,5
146,145.0,Good but too heavy. but I like it,5
147,146.0,Shut,5
148,147.0,Its fun,5
149,148.0,"For the ""free"" 4* skin only available in China. You get it.",5
150,149.0,"I'm addicted to genshin , definitely one of my 5 star games , I love how interactive it is and I've made many new friends in co op",5
151,150.0,"It's a fun game with various characters to unlock. It gets better and better whenever I play, it like I'm addicted to the game. My favorite character would be Mona or Sayu. I hope I can unlock them in the future, until next time peeps",5
152,151.0,It's one the best game i have ever played It's fabulous 👌 awesome It's available on all platforms fantastic stories I would really like to have a clan like system or increase the how many in-game friends i would really appreciate that if we can have a clan,5
153,152.0,It's the best game ever,5
154,153.0,I love it soooooo much it has my sister in it,5
155,154.0,Best game ever!,5
156,155.0,👍,3
157,156.0,The game is good and addictive though now that I finished most of the quest the games kinda gets boring (because theirs no quest 😕) can't wait for Nathan and snechnai(don't know the spelling) to be released,4
158,157.0,"Does not give enough primogems, like come on the quests are too long just like their dialogue and then they'll just give like 60 or less primogem, that is not even enough to buy 1 wish, and i spent hours to collect 1600 primogems or more, then I didn't get anything just useless weapons, and also why do I have to make 80 wishes? After my 80 pity I got a five star character but its not even in the banner.",1
159,158.0,The game is beautiful and I recommend it (just be rich),5
160,159.0,"Tbh when I always open the game it's says there is always a bug and i should clear cache, i cleared it but its still didn't work.",1
161,160.0,xhongli ve filuca sddikim,5
162,161.0,"No doubt world is so big , storyline is awesome and game is full of new characters and areas with new updates I download in oct 2023 and from then I play this game daily but no sign of boring or anything only issue I'm facing is they give very few rewards for very long missions kinda disappointing if I compare this to othe games",4
163,162.0,It's sooooo great game it's the best game I played ever,5
164,163.0,"This game is really really bad The company does not care about this game and gives all preference to their second game, Honkai Impact",1
165,164.0,"Nice graphics and nice game. BUT, I just download this game, which my friend suggested me to play. And guess what? IT LITTERALLY TOOK SO LONG TO ENTER THE GAME. Plus, IT WENT OVER THE MB. I dont recommend this game for 300+ MB",2
166,165.0,Beat game ever,5
167,166.0,More chances for 5 stars,5
168,167.0,"Long time player here, the developers don't care about the player base, takes a long time to implement QoL changes asked from way back when, and the rewards and grinding are not satisfying. This game has a lot of potential still and it's sad that the Devs are squandering that and our goodwill.",1
169,168.0,My favourite RPG game ever but the size of this game is so big only that is the minuspoint of the game,5
170,169.0,Bad game terrible awful not good many pixels for an offline game bad don't recommend Btw it's the worse game on earth,1
171,170.0,"I started playing on my PS4, but I usually use my phone recently, so why can't I buy Genesis Crystals on my phone?",3
172,171.0,"This my fav game since 2020 I think, though my storage can't take it.",5
173,172.0,"Its good i like the lore and the details , ive been playing it for more than 2 uears now but i gatta say ,the rewards are ashy. just to do a 1h quest for 60 primogems , alot of time for so little rewards. Lets just hope they change this thing.",4
174,173.0,It's a very good game I like it and the graphics are like omg I highly recommend you to play thank you 😊,5
175,174.0,Genshin is the best game I've ever played in my life!,5
176,175.0,love it genshin impact 💙🤍,5
177,176.0,I like to play this game but lovely my phone still can't open this game because of need more internet quota to download a new server or update a new version,5
178,177.0,Virtual game nice!!!,5
179,178.0,I love this game so much i love adventuring around teyvat and i cant wait for Natlan's release!!,5
180,179.0,Please create underwater world too,5
181,180.0,Didnt win 50/50,1
182,181.0,As a gamer I loved it ❤,5
183,182.0,Not bad gameplay and good ghraphics design!,4
184,183.0,Super,5
185,184.0,"So it was okay before I downloaded the last two updates and that really hurts because I REALLY LIKE THIS GAME!!! WHY did whomever have to go and mess it up. While in the middle of a game it just exits the whole game like I wasn't playing it all. Like what the hell?! Please fix this like asap because I really don't want to uninstall this game. And after you fix it, I'll fix my rating. Okay thank you,....bye!",2
186,185.0,Love it so much,5
187,186.0,Great game,5
188,187.0,Super,5
189,188.0,"A good game with a ton of content for casual players, with a light sprinkle of endgame content. The text is bloated and the difference in play experience between F2P and pay-to-win is vast, but don't negate the fact that there is a rewarding experience to be found for most players.",4
190,189.0,Entertaining,5
191,190.0,"I've been a player for 3 years, had a lot of fun memories in this game. Amazing characters, fun gameplay, beautiful open world, etc. Overall i've enjoyed most of my experiences in this game :)",5
192,191.0,Trash,1
193,192.0,I can't play this game why,1
194,193.0,Good game but why i cannot get any new hero,5
195,194.0,🤩 Amazing game,5
196,195.0,เกมดีมาก แต่สเปคก็ต้องถึงเช่นกัน,5
197,196.0,It's amazing and the graphics style is really good,5
198,197.0,"I LOVE THIS GAME ALREADY, tons of adventures! But sometimes theres alot of paranormal stuff... But still like it, its like adventuring your own life, so fun!",5
199,198.0,I love the game,5
200,199.0,I really love this game it's so fun but I don't like how it take up so much storage,5
201,200.0,"Amazing game...although..it can get confusing sometimes....but otherwise, amazing game...list of good things about it: •Graphics •Storylines •Music •Character designs List of bad things about it: •Nothing",5
202,201.0,4.5 driest update,3
203,202.0,I like it <3,5
204,203.0,"It's a fantastic game , beautiful , fun and exploring the beautiful world for treasures and other stuff is amazing not to mention the amazing characters! But a little more rewards will make the players satisfied and will hopefully stop them from review bombing",5
205,204.0,"The game is really Amazing. But for low end-devices or phone with smaller storage, You guys should do a ""Option"" on what you will only to download, not only it can save up space, but also let the low end-devices play this Amazing game.",4
206,205.0,Require too much storage for a phone game....,1
207,206.0,Good game,5
208,207.0,I love this gameeee!,5
209,208.0,well ypu know..,5
210,209.0,Even with rog gaming phone this game crash sometimes,3
211,210.0,"ya iya seru, tp akun ku ilang, makasi❤❤",2
212,211.0,It was a extremely good game,5
213,212.0,sangat keren!,5
214,213.0,"It's been 2 years since i last played, i really loved the game but i didn't have enough storage for it. I installed it again today on my laptop but I can't log in with my Google account and I can't log in on any other device since I have no storage. I don't want everything to be lost..",5
215,214.0,if you ever play console/PC but don't have time at home. the mobile app is handy. my only problem is thatmy Xbox and Nintendo switch controllers are not supported. and I can also presume other controllers aren't either other than the Apple version.,4
216,215.0,The 5 star rates are terrible,1
217,216.0,"I have my new phone, the Itel P55. I hope you guys improve its graphics performance for this genshin game.",5
218,217.0,Nice,5
219,218.0,"I love the game but the amount of times the game stoped because of my ""Internet"" is absurd.",4
220,219.0,Long Downloading time,1
221,220.0,"Compared to hsr , boring asf and doesnt recieve QoL updates . Its like hoyos adopted child",2
222,221.0,Best game I have ever encountered I don't regret the storage it takes,5
223,222.0,"Frustrated with the wish/pity system, especially when it comes to spending. I feel like if I'm dropping $40 on the game, getting the 5* should be guaranteed. Motivation to play the game has completely gone down as well, it feels like after a while there's no motivation to log on and do tasks every day, and the main quests get too long for me to play day-to-day. Overall, it was fun at first but between the atrocious pity system and the game getting boring after a while, it's not worth it anymore.",2
224,223.0,No need to explain if you play it you know what I mean,5
225,224.0,"Continuing to add characters and weapons has become a trifle, it's better to complete the story instead of this nonsense",1
226,225.0,"I absolutely love this game. I have two accounts, one for each traveler and it has been an amazing experience",5
227,226.0,"Bug background blur photo mode on dimensity 7200 ultra. Changing blur distance not working, its just blurring the whole screen when i set full blur radius. And also please add custom button game UI mapper feature",4
228,227.0,My favorite game but only 40 primogems for a quest is crazy 😭 Even the hardest quests gives only 60 :((,5
229,228.0,"I've hit 100% exploration everywhere including the reputation with 1k+ achievements. I'm dying from boredom, low mora, no end game content and very less primos, you can barely pull 10 every month. I loved this game. Unless you're willing to invest your time and a lot of money on monthly basis, you'd definitely find yourself in a difficult spot.",2
230,229.0,Good so playable,5
231,230.0,TRUST,1
232,231.0,Wonderful game just superb,5
233,232.0,It's fun to play since it's open world,5
234,233.0,good game,5
235,234.0,"I just give a one start because my sister is not doing anything else with her life than playing. Horrible game, horrible sister, and horrible lifestyle.",1
236,235.0,Nice,5
237,236.0,Yippie,5
238,237.0,"p2w game, gambling addiction, bad multiplayer mode, and no server transfer!",1
239,238.0,It cool,5
240,239.0,As low as 5* summon rate,1
241,240.0,fun.,5
242,241.0,Best game I've ever played,5
243,242.0,BEST GAME EVER I LOVE U I HAVE BEEN PLAYING U FOR A YEAR MY FAV IS NEVU FOR NOW BUT I MIGHT CHANGE IT BUT I JUST CANT PULL A NEVU AND I GET SAD AND JEALOUS CAUSE MY SISTER HAS HIM 😔,5
244,243.0,I'll rate this to 5 stars if Hoyoverse gift me Kazuha. -Whoopsie,1
245,244.0,The game is awsome but i have a problem Mihoyo do you have any personal issue with me? From the beganing of the game i never got a single good artifact i farm so much but didn't got a good set please give me good artifact 😭😭😭,1
246,245.0,You guys treat the community badly.,3
247,246.0,Event keep ending earlier than the schedule,1
248,247.0,"Definitely a really beautiful game with good lore but the in game events and web events need to get more frequent because if you're an old player, you most probably are caught up with everything in the game. I'm AR60 and I've completed everything. I don't feel like playing the game except when there's something new out there.",3
249,248.0,Father and Nilou pls And furina for perry and scythe for Mori.,1
250,249.0,Yeah not a bad game I love it the graphics r so damn cool such a good story fun gameplay nice animations I love it nice!,5
251,250.0,I give it 5 stars cuz i love hoyoverse...however Im not in love in adventure rpg,4
252,251.0,It's so fun! I love the adventure,5
253,252.0,Alhamdulillah game nya bagus ya,5
254,253.0,Cool,5
255,254.0,The first time I play this game I deleted it because Kaeya doesn't freeze the water on the temple and when I walk on the water I died. But nothings changed when i reinstalled. How can I fix this ?,4
256,255.0,Low fps,1
257,256.0,Good everything is good in this game no exception 10/10 one of the best open world rpg games that I played,5
258,257.0,The story line and the character design is good and the different region and taking reference from different countries is amazing as well,5
259,258.0,Good!,5
260,259.0,good,5
261,260.0,But the traveler can change the elements in between the battle or in any place and the traveler can use all weapons and wish is so hard the chance is very low and hard to collect primogems,3
262,261.0,This such an addicting game I love it,5
263,262.0,I didn't get my account back but they still really help me so thankyou so much! (FIVE STAR FOR ME!),5
264,263.0,Indian server ping very high 599 Please fix Indian server ping,1
265,264.0,Indtalled it and immediately gsined 10 kilos,1
266,265.0,"According to the judgment of the Oratrice Mecanique D'analyse Cardinale, Genshin Impact deserves a 5 stars rate.",5
267,266.0,"The app is really good. The gameplay, the quests, the character designs, the voices, the visuals, the features, everything is great. I've been playing it only for a month and I still gotta discover it more, but now, it's a good start. The only problems that are here is that it takes kinda much space and it lags, but it's because of my device. Again, the app is great! Really recommend this game.✨",5
268,267.0,nice adventure game,5
269,268.0,Very good,5
270,269.0,Игра просто супер играю 2 года и не каких глюков не было на акке много лег. И обыч. героев все плюсы и не произнесу из очень много.😍😍😍,5
271,270.0,Wish it didn't take so long to download. Then you want us players to buy packs or in game purchases! I'd rather play free and not have to wait for hours to play.,1
272,271.0,I got a quest pending because of which i cant play multi player for months. It would be really helpful if the game could specify which quest I should complete to be able to continue playing co op and to enter serenity pot,4
273,272.0,Not recommendable game,1
274,273.0,I love this game the story mode the graphics and the quests makes it very adventurous ✨💖 I'm in love with the characters and the story mode of the game 🎮,5
275,274.0,ineedajigglemaballs😭😭😭😭🙏🙏🙏,5
276,275.0,"Sh* ty game, racist game wich doesn't care about global Occasions such as Halloween and Christmas etc- the rewards are the worse",1
277,276.0,Explosive,5
278,277.0,Nicee but want more primoo pliss,5
279,278.0,a good game,4
280,279.0,Gw pernah main ini terus menahan sabar kek puasa pas belum belum buka bro,5
281,280.0,بخيلين,1
282,281.0,Lacking in rewards and general player treatment,1
283,282.0,"The game has become routine and there is nothing new or additions to the Primo Games. It is very limited and it is not possible to even get anything that is at least 5 stars, and the luck is getting worse and worse.",2
284,283.0,Game is boring for endgame players been a supporter of the game for 3 years not anymore,2
285,284.0,im having a problem with logging in! i tried restarting my device & reinstalling the app. still no use.,1
286,285.0,Best open world game in the world,5
287,286.0,Wonderful Colors Cool And More( Edit One) Like It,5
288,287.0,Best game ever yaay,5
289,288.0,awesome game....this is the best game I had ever played....but it's addictive...time killing...and the quest are a bit long.,5
290,289.0,Bagus tapi...,4
291,290.0,It is a very fun game. But it takes a lot of space of phone. It really worth it!❤️,5
292,291.0,Excellent game thanks,5
293,292.0,I'm giving you this one star right now because ever since I played this game (2021) I haven't won my 50% and that's so disappointing for me to waste my time and efforts in the end just for a standard character.,1
294,293.0,So good i played this . The everything is great,3
295,294.0,A solid 10/10 i recommend this game if you like adventure games.,5
296,295.0,Wonderful,5
297,296.0,It's my childhood game and it was so nostiligia but when I came back my account was deleted it had my heart burning in days pls can get this fixed,3
298,297.0,Bestt,5
299,298.0,Nice game but lag,4
300,299.0,GOATED game ngl,5
301,300.0,"Always too many requests when try to login, uninstalled already",5
302,301.0,New one is a hi I LOVE 😘,5
303,302.0,"This is one of my favorite game! I love the stories, the quests and the characters! My favorite character is probably Raiden shogun, my least favorite character is.. Aloy.. Sorry to Aloy lovers! And I simp... Let's say 3 boys, that is Venti, Childe and Wanderer.. Ehe..",4
304,303.0,Very,5
305,304.0,The game has a lot of potential but Mihoyo refuses to let it see it's potential. There is no content in which to use the characters you collect because of a lack of endgame and how stupidly easy everything is on the overworld. They lock lore and important story behind LTE's. They haven't updated the weapon banner to be like HSR's which is far superior. Tedious Dailies (let us just spend resin to finish them already). It's been years and they still haven't listened to the community.,1
306,305.0,The story is good,5
307,306.0,Give us more primogems or remove 50/50,1
308,307.0,love this game,5
309,308.0,Size is too big,1
310,309.0,Good Game And Sans Gamr,5
311,310.0,So very naisu even in low fps,5
312,311.0,"I love this game a lot ever since my friend recommend it to me...I felt like, I'm living in my own fantasy world, its cool and awesome...And the cutscenes❤️❤️, i really really love it but the game storage was too big every update😥",4
313,312.0,"Ahem. HI GENSHIN IMPACT LOVE THE GRAPHICS LOVE THE GAME I LOVE RCERYTHING, but I've got one problem, so you see. I was helping my friend log in on my account in a different gadget. not on my phone or laptop, but hers 😊 and i couldn't help but notice it keeps saying WRONG PASSWORD 👹 and so pls fix this mess, thank you, luv from ur fans <3",5
314,313.0,please give free 5 star character,5
315,314.0,This game was so good.,5
316,315.0,I love this game so much.,5
317,316.0,This is my fav game🔥🔥💯,5
318,317.0,Very good,5
319,318.0,GENSHIN IMPACT FOR A BETTER LIFE!,5
320,319.0,😁👍🏻,5
321,320.0,I love itt,5
322,321.0,Im out of patience to wait 30gb download before playing,1
323,322.0,"why I think it's really bad for Mobile players, cause it cost a ton of GB's. And yk our device gets clogged quickly, But it's a good Game tho. I still have to delete all my Apps to download this.",3
324,323.0,👍,5
325,324.0,Trash anniversary rewards,3
326,325.0,I love this game but when I play this game is amazing like step in real life anime but time pass by it's bring now and am f2p it's h hard to farm the event and primos not enough,1
327,326.0,not f2p friendly when you always lose. it's gacha game but the devs won't give enough fates or primogems to get the characters you want. it's just basically a story game with bunch of waifus,1
328,327.0,I LUV SCARAMOUCHE AND XIAO,5
329,328.0,Amazing journey and best openworld game this is my favorite game,5
330,329.0,Good,5
331,330.0,Best game ever i play,5
332,331.0,It's a really good game I really like it,5
333,332.0,"I absolutely love this game and everything about it. It's really fun and enjoyable there are many events and fun stuff to do but there's one problem I have. My storage is gonna go rip because of genshin impact 😭🙏 which of course, is a problem, but I don't plan on deleting it any time soon. Overall, this is a great and very fun game to play. You can fight in it (no gore or blood). If you are going to get Genshin Impact, make sure you have the storage to do so. Great game. Keep it up, hoyo.",5
334,333.0,Amazing!,5
335,334.0,Not enough resin to do things that needs to be done...,2
336,335.0,Bla bla,5
